company,frequency,recency,monetary,low_hp,medium_hp,high_hp,old_,recent_,low_mileage,medium_mileage,high_mileage,less_5k,_5k_10k_,_10k_,profit_per_car
KOT YULIYA,1,10,1,1,0,0,1,0,0,0,1,1,0,0,267
ZEMANDIA Kft.,1,10,4,0,0,1,1,0,0,1,0,0,0,1,476
DIACO AUTOMOBILE,2,6,4,4,0,0,4,0,2,2,0,2,2,0,526.25
AUTOHAUS NORDOST Inh. Henrik Elsholz,1,3,5,1,0,0,0,1,0,1,0,0,0,1,1342
KOZLOV OLEKSII YURIYOVYCH,1,6,2,2,0,0,2,0,0,2,0,2,0,0,376.5
"Zagas Automobile Frankfurt, Inh. Christos Zagas",2,10,6,3,0,0,0,3,0,2,1,0,0,3,650
Autohaus Jutz GmbH,1,10,3,1,0,0,1,0,1,0,0,0,1,0,827
Petr Hloušek,1,10,2,1,0,0,1,0,0,0,1,1,0,0,352
ABA-ROLLING Kft.,6,7,8,16,3,1,20,0,1,13,6,12,8,0,574.5
Augustin Mobile OHG,1,10,5,1,0,0,0,1,1,0,0,0,0,1,-925
Autoklassik Simon UG,1,8,2,0,1,0,1,0,1,0,0,1,0,0,245
Cartransport Šul.cz s.r.o.,2,9,3,0,4,0,4,0,0,2,2,4,0,0,301.5
BILAVČIĆ D.O.O.,1,8,5,2,0,0,2,0,0,1,1,0,0,2,686
HIOTIS DIMITRIOS ALEXANDROS,3,6,7,8,0,0,0,8,8,0,0,0,8,0,1104.625
"Louis-Automobile, Inh. Mircea Novacoviciu",7,5,11,12,14,6,13,19,20,12,0,2,1,29,-105.75
RENAULT RETAIL GROUP Deutschland GmbH,1,10,6,0,1,1,0,2,2,0,0,0,0,2,-2770.5
CARROZZERIA NANNETTI S.N.C. DI NANNETTI MARIO & C.,1,7,5,0,1,0,0,1,1,0,0,0,0,1,-477
Lyhs & Gondert GmbH,3,9,9,0,6,0,0,6,6,0,0,0,0,6,883.1666667
F D VOIAJ IMPEX SRL,1,8,4,1,0,0,0,1,1,0,0,0,0,1,1006
"PPHU IMPORT-EXPORT ""DAW-MAR"" ELŻBIETA CIŃCIO",3,3,2,6,0,0,6,0,0,1,5,6,0,0,280.5
SIA VALUK,2,8,4,3,0,0,3,0,0,1,2,1,2,0,1047
"Hypnotix, s.r.o.",1,10,2,0,1,0,1,0,0,0,1,1,0,0,402
LL.I.KK. GOALS D.O.O.,1,10,4,1,0,0,0,1,1,0,0,0,0,1,453
ADAGIO AUTO-LEASING SRL,1,6,5,2,0,0,1,1,1,0,1,1,0,1,693.5
AJAP AUTOMOVEIS LDA,5,2,9,17,0,0,2,15,11,6,0,0,13,4,453.4705882
EUROPE AUTO TALLINN OÜ,1,10,8,0,1,1,0,2,2,0,0,0,0,2,1572
"An-Verkauf von Gebrauchtwagen, Inh. Frank Trost",1,9,2,1,0,0,1,0,1,0,0,1,0,0,247
AUTO AUTREMENT,1,7,1,1,0,0,1,0,0,0,1,1,0,0,311
"Autorama-Exclusive, Inh. Heinz Pauly",2,8,4,4,0,0,3,1,0,1,3,3,1,0,444
IVEMA ARANA SL,2,7,7,4,0,0,0,4,4,0,0,0,0,4,586.75
Kamat Sp. z o.o.,1,10,2,1,0,0,1,0,0,0,1,1,0,0,590
EUROCARS-AALST,1,9,9,1,0,1,0,2,2,0,0,0,0,2,2233.5
MAXIMINO & GRILO - COMERCIO AUTOMOVEL LDA,1,6,5,2,0,0,0,2,2,0,0,0,0,2,878
Kfz Meisterwerkstatt Christian Tesch GmbH,8,1,11,39,11,1,22,29,41,10,0,0,21,30,621.9019608
"KFZ-Handel Schlager, Inh. Guido Schlager",2,10,4,3,0,0,3,0,3,0,0,3,0,0,566.3333333
MOTO-TOM Tomasz Sułkowski,1,9,3,2,0,0,2,0,0,0,2,1,1,0,531
GARAGE LE NATIONAL,3,8,9,3,3,0,3,3,6,0,0,0,1,5,1504.666667
Carpoint Limburg bv,5,7,6,19,0,0,19,0,1,18,0,19,0,0,454.7894737
2B MOTORS,5,3,9,15,1,0,1,15,16,0,0,0,0,16,1157.125
Autobedrijf Van Winsum Kampen B.V.,1,10,3,1,0,0,1,0,0,1,0,0,1,0,0
VENDRAMINI CARLO,2,9,9,1,3,0,0,4,3,1,0,0,0,4,750.75
A.D.AUTO D.O.O.,1,9,4,2,0,0,2,0,1,0,1,1,1,0,601
SAS G-B AUTOMOBILES,4,7,7,12,2,0,13,1,6,5,3,9,5,0,375.4285714
"Made4cars, Inh. Steve Gellert",3,6,7,2,4,0,4,2,2,4,0,0,3,3,187.5
DA-NA 7 OOD,1,8,1,1,0,0,1,0,0,1,0,1,0,0,240
Branislav Golier BG - sun,1,9,3,0,1,0,1,0,0,0,1,0,1,0,360
ZGHEIB Groupe,1,10,1,0,1,0,1,0,0,0,1,1,0,0,241
V.O.F. AUTOSERVICE NIJLAN,1,6,3,1,0,0,1,0,1,0,0,0,1,0,815
Autohaus Birkelbach GmbH,3,5,9,2,3,2,0,7,7,0,0,0,0,7,709
FAVORITE CHAMPION - UNIPESSOAL LDA,2,8,5,3,1,0,3,1,0,3,1,1,2,1,608.75
Nawrot Sp. z o.o.,1,10,4,1,1,0,1,1,0,2,0,1,0,1,664.5
VLAD AUTO CONCEPT SRL,1,7,2,1,1,0,2,0,0,0,2,2,0,0,597.5
"MK-Automobile, Inh. Mohammad Khalil",1,7,2,1,0,0,1,0,0,1,0,1,0,0,586
OK Leasing Anna Kordowska,1,10,1,1,0,0,1,0,0,0,1,1,0,0,149
"Autivo Automobile, Inh. Elena Peege e.K.",3,9,6,6,0,0,5,1,6,0,0,2,4,0,707.6666667
MERITO COORDENADO - UNIPESSOAL LDA,2,9,3,3,0,0,3,0,0,2,1,3,0,0,1289.333333
Autohaus Hons OHG,1,7,4,1,0,0,0,1,1,0,0,0,0,1,853
AUTO MATRIX J.D.O.O.,3,4,7,5,0,0,1,4,2,3,0,1,1,3,1118.6
TOMCARS SPEED S.R.L.,1,9,4,0,1,0,0,1,0,1,0,0,0,1,357
RCVNO,1,3,3,1,0,0,1,0,1,0,0,0,1,0,727
"Autohandel Langenhof & Kingma, Inh. Ido Kingma",1,9,4,2,0,0,1,1,0,0,2,1,1,0,311
A-G Automobile GbR,3,7,9,1,4,0,0,5,3,2,0,0,0,5,781.2
GARAGE GRIMBERT LA TRADITION AUTOMOBILE,1,10,2,1,0,0,1,0,1,0,0,1,0,0,240
GRUPA MTG Tomasz Gluza,1,8,4,2,0,0,0,2,2,0,0,0,2,0,-62.5
Auto-Centrum ApS,8,4,12,1,6,47,0,54,54,0,0,0,0,54,666.8333333
Šárka Lajgotová,2,4,3,4,0,0,4,0,0,3,1,4,0,0,506.75
ANCARS,1,10,4,1,1,0,2,0,0,2,0,1,1,0,817.5
V.O.F. Carstore Apeldoorn,2,10,2,3,0,0,3,0,1,2,0,3,0,0,653
JUDr. Dušan Mikuláš - (červienka forza-alfa),1,8,2,0,0,1,1,0,0,1,0,1,0,0,438
DATSYSHYN OLESYA MYROSLAVIVNA,1,6,2,1,0,0,0,1,0,0,1,1,0,0,590
"Elegance Automobile Wiesbaden, Inh. Hayati Bicer",3,3,4,8,1,0,9,0,1,8,0,8,1,0,385.3333333
"LION CAR, s.r.o.",1,10,5,0,1,0,0,1,1,0,0,0,0,1,1102
"AUTOMOBILI MEDVED, obrt za trgovinu, vl. Darko Medved",9,1,11,71,8,0,63,16,1,78,0,12,45,22,854.7468354
Radim Bouček,2,10,5,2,1,0,1,2,0,2,1,0,1,2,302.3333333
Kristián Vajda,1,10,2,0,1,0,1,0,0,0,1,1,0,0,260
Rayane Azzedine,2,8,4,3,0,0,3,0,1,2,0,1,2,0,521.6666667
BVBA VIGAR MOTORS,3,4,9,3,0,4,0,7,5,2,0,0,0,7,978.4285714
AUTOPRESIDENT PARTS KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,8,2,1,0,0,1,0,0,1,0,1,0,0,492
VITKOVIĆ PROM d.o.o.,1,6,5,2,0,0,0,2,0,2,0,0,0,2,476
Mfour Car Kft.,1,7,2,2,0,0,2,0,0,2,0,2,0,0,477.5
Auto Friedrich UG (haftungsbeschränkt),2,9,3,3,0,0,3,0,0,3,0,3,0,0,405.3333333
DOUNIAS NIKOLAOS ATHANASIOS,4,5,7,11,0,0,6,5,1,10,0,5,6,0,765
Daimler AG Niederlassung Rhein-Ruhr - Duisburg,1,10,4,1,0,0,0,1,1,0,0,0,0,1,1288
AUTOBEDRIJF STEENVOORDE B.V.,1,10,4,1,0,0,0,1,1,0,0,0,0,1,989
"JL performance, Julien Loquy",1,7,3,0,2,0,2,0,0,0,2,2,0,0,155.5
Vogelau auto 67,1,9,2,2,0,0,2,0,0,2,0,2,0,0,435
BetPro Grupp OÜ,1,4,3,0,0,1,1,0,0,0,1,0,1,0,-4931
P & P MOBILE Piotr Pawełek,1,10,4,1,0,0,1,0,0,1,0,0,0,1,998
AUTO-ZŁOM-KOMIS MECHANIKA BLACHARSTWO POJAZDOWE EDMUND KISTELA,2,9,4,3,0,0,3,0,0,3,0,2,1,0,463.6666667
Galtom Projekt d.o.o.,3,6,9,2,3,0,0,5,3,2,0,0,0,5,949.8
PEPINA 2011 EOOD,3,9,3,6,1,0,7,0,0,2,5,7,0,0,241.1428571
MB ONYX-BAU Kft.,1,2,5,2,0,0,1,1,1,0,1,1,0,1,1032.5
Autohaus Hornbach GmbH,1,10,4,1,0,0,0,1,1,0,0,0,0,1,951
Carpoint Sachsen UG,3,5,6,8,0,0,7,1,4,3,1,3,4,1,532.375
H.S.der Autosupermarkt GmbH,1,8,4,1,0,0,1,0,0,1,0,0,0,1,941
Huhwag Automobil OG,1,8,4,1,0,0,0,1,0,1,0,0,0,1,1530
MPALAMPANOY ELENI EYTHYMIOS,4,3,8,13,0,0,6,7,5,8,0,3,10,0,750
autohaus 14 Inh. Bernd Paczkowski,1,10,4,1,0,0,1,0,1,0,0,0,0,1,-899
Auto Weber,1,10,4,0,1,0,0,1,1,0,0,0,0,1,590
DL AUTO LUX LTD,2,5,4,1,2,0,3,0,0,1,2,2,1,0,965.3333333
Rudi Valerij,8,2,8,57,5,0,62,0,10,50,2,62,0,0,301.016129
FRAV S.R.L.,1,10,9,0,0,1,0,1,1,0,0,0,0,1,3026
Oto-cars Edessa,1,8,4,2,0,0,1,1,1,1,0,1,1,0,830.5
Automobile AHF GmbH,3,10,9,6,0,0,0,6,6,0,0,0,0,6,1692
Harnisch Kraftfahrzeuge oHG,2,7,9,0,1,3,3,1,3,1,0,0,0,4,645.5
JCD Bogdan Zmysłowski,2,7,4,3,0,0,3,0,0,1,2,1,2,0,942.3333333
F. 67 s.r.o.,2,7,5,2,1,0,1,2,0,1,2,1,0,2,1095
Clear Cars,1,10,4,1,0,0,0,1,1,0,0,0,0,1,1125
Güner Automobile GmbH,2,9,5,3,0,0,2,1,2,1,0,1,1,1,518
MECABOX chécy,1,10,3,0,0,1,1,0,0,0,1,0,1,0,268
"Karosserie-Dienstleistung, Inh. Erik Aurin",1,10,2,2,0,0,2,0,2,0,0,2,0,0,229
Autobedrijf Rowin Bolt,4,6,6,13,0,0,13,0,2,11,0,13,0,0,615.3846154
Kamil Helowicz Firma Handlowo - Usługowa,8,3,7,48,2,0,50,0,1,12,37,50,0,0,368.18
Radim Hanačík s.r.o.,2,6,3,3,0,0,3,0,0,3,0,3,0,0,151.6666667
WIŚNIEWSKICARS PAULINA WIŚNIEWSKA,2,3,3,3,0,0,3,0,0,1,2,3,0,0,363
V.S.A,9,5,11,94,10,3,93,14,78,29,0,35,50,22,826.8598131
AutoPlanner NL,9,1,11,63,30,5,76,22,22,74,2,21,49,28,-39.46938776
Stanisław Dzwonkowski Professcar,1,6,2,1,0,0,1,0,0,1,0,1,0,0,421
Abu Rashed Im- und Export GmbH,1,5,4,0,2,0,2,0,1,0,1,0,1,1,741.5
GUILLERMO GARCIA BARBEITO,1,9,4,1,0,0,1,0,0,1,0,0,0,1,379
YECLAUTO SL,1,7,2,1,0,0,1,0,0,0,1,1,0,0,245
Suomen Vaihtoauto Oy / Kiesi Finland,9,1,12,4,4,66,1,73,73,1,0,0,0,74,569.9459459
Ing. Katarína Horáčková,3,8,6,1,4,0,4,1,0,3,2,1,3,1,395.8
AUTOSERVICE IANCULUI SRL,1,1,3,2,0,0,2,0,0,1,1,2,0,0,616.5
Brekizsozsó Autó-Matic Kft,2,7,5,2,2,0,3,1,0,3,1,1,3,0,698.25
GbR Walkowiak und Walkowiak,1,7,3,0,2,0,2,0,0,0,2,2,0,0,510.5
Autohaus Schweiger Allgäu GmbH,3,1,9,6,3,0,2,7,9,0,0,0,2,7,1388.777778
Fahrzeughaus Hattenburg GmbH,1,7,3,1,0,0,1,0,0,1,0,0,1,0,313
"Auto-Nom. We find your car, Inh. Markus Michalek",1,8,7,1,0,1,0,2,2,0,0,0,0,2,1947.5
ZAPA COMÉRCIO DE AUTOMÓVEIS UNIPESSOAL LDA,1,10,2,1,0,0,1,0,0,1,0,1,0,0,240
AUTO Mamut s.r.o.,3,10,4,9,0,0,9,0,1,6,2,9,0,0,191.2222222
AXF AUTOHOUSE S.R.L.,2,7,5,3,0,0,1,2,0,1,2,0,2,1,569.6666667
IZ AUTO,1,8,3,0,1,0,1,0,0,1,0,0,1,0,989
Halit Kablan,1,7,5,0,0,1,1,0,1,0,0,0,0,1,-3126
VERMEER AUTOMOTIVE,1,5,6,0,1,0,0,1,1,0,0,0,0,1,2946
Wilhelm Hammer,3,9,7,4,1,0,2,3,1,4,0,1,1,3,847
FULL AUTO PROFESIONAL S.R.L.,1,10,4,0,1,0,1,0,0,1,0,0,0,1,-856
DESTEMIDO PROGRESSO UNIPESSOAL LDA,1,10,3,1,0,0,0,1,1,0,0,0,1,0,312
GERMAN CARS S.R.L.,1,7,4,2,0,0,2,0,0,2,0,1,1,0,827
"AUTOWERKBIELEFELD, Inh. Antonios Damigos",5,7,9,17,0,0,0,17,16,1,0,0,3,14,803.1764706
BCI CHARTRES,9,1,12,178,19,4,184,17,174,27,0,61,111,29,621.8059701
VENERHS EMMAN ANWN EMPOR VIOM VIOTE TOUR KSENOD YPHRES ASFALISTIKOU SYMVOULOU EMM VENERHS AE AUTO KRHTH,5,7,9,15,0,0,3,12,11,4,0,0,13,2,1028.666667
"A&C Automobile, Inh. Ali Celebi",1,10,3,1,1,0,2,0,0,2,0,2,0,0,696.5
Johans Bilar i Kristianstad AB,1,6,3,0,0,1,1,0,0,0,1,0,1,0,722
Auto Hofmann Walldorf GmbH,7,9,11,18,5,8,1,30,30,1,0,0,3,28,919.1935484
HM Mobility,1,8,3,1,0,0,1,0,1,0,0,0,1,0,1221
"Motor - Car Michalovce, s.r.o.",3,7,10,0,5,2,0,7,6,1,0,0,0,7,1178
BRAUN D.O.O.,3,8,5,6,0,0,4,2,0,1,5,5,1,0,376.6666667
"N.H.SH. "" MONDIAL """,1,9,4,2,0,0,2,0,0,0,2,1,1,0,823.5
ACTIV'AUTO,2,9,3,3,0,0,3,0,0,2,1,3,0,0,403.6666667
VALYSSEILER AUTO SRL,1,10,4,2,0,0,2,0,1,0,1,1,0,1,577
Alpha E-Cars Kft.,1,10,7,0,0,1,0,1,1,0,0,0,0,1,1944
"Markus Kraska Automobile & Tuning, Inh. Markus Kraska",3,7,11,2,2,4,0,8,8,0,0,0,0,8,1960.75
"Paul Baal Automobile, Inh. Paul Baal",5,6,9,15,2,1,14,4,11,7,0,9,6,3,1153.555556
Autohaus Weeber GmbH,2,10,9,2,1,1,0,4,4,0,0,0,0,4,387.75
ADMINISTRATIEKANTOOR F.J.M. DE BRUIJN,2,7,5,4,0,0,3,1,2,2,0,1,3,0,616
"Auto Kontor NRW Norbert Reinartz, Inh. Norbert Reinartz",2,7,4,3,0,0,3,0,3,0,0,3,0,0,702.6666667
"MB Car Trading, Inh. Mahmoud Badwan",1,9,6,0,0,1,0,1,1,0,0,0,0,1,1019
PREMIUM EX -IM SH.P.K.,1,9,5,1,0,0,0,1,1,0,0,0,0,1,498
JOSE GONÇALO & JOAO PEDRO LDA,2,9,5,1,2,0,3,0,0,3,0,0,1,2,1188
BRT AUTO EMOTION IN MOTION S.R.L.,3,7,4,5,1,0,6,0,0,1,5,6,0,0,689.8333333
SAS SPORT DESIGN AUTOMOBILES,1,10,4,0,1,0,1,0,1,0,0,0,0,1,1368
H/O BAARS AUTOMOBIELEN,2,8,5,3,0,0,1,2,2,1,0,1,1,1,991.6666667
FM auto s.r.o.,3,8,4,8,0,0,8,0,0,7,1,8,0,0,437.125
Bohumil Majkuth,2,9,4,3,0,0,3,0,0,0,3,2,1,0,343.6666667
DOBRYANSʹKYY YURIY MYKHAYLOVYCH,2,9,4,4,0,0,4,0,0,0,4,2,2,0,623.75
P & M SRL,1,9,4,1,0,0,0,1,1,0,0,0,0,1,726
Govdysh Serhii Vasilyevich,4,3,4,12,0,0,12,0,0,3,9,12,0,0,369.8333333
Miroslav Fláma,1,9,5,2,0,0,0,2,1,1,0,0,1,1,-557.5
Völcker+Peters GmbH,2,10,9,0,2,2,1,3,3,1,0,0,0,4,1502.25
BOUDJEMAA BADACHE,1,7,4,0,0,2,2,0,0,2,0,0,2,0,722
PL-Cars s.r.o.,3,8,3,1,4,0,5,0,0,0,5,5,0,0,410.4
cars line s.r.o.,1,10,2,1,0,0,1,0,0,1,0,1,0,0,1048
Autohaus Krefelder Straße GmbH Co.KG,1,9,5,2,0,0,0,2,2,0,0,0,0,2,1016
"SaxeCars Ndl, Inh. Vitalii Nikipartsov",3,8,5,1,4,0,4,1,0,0,5,3,1,1,898.6
J & F AUTO´S B.V.,5,5,9,14,1,0,3,12,14,1,0,0,2,13,685.1333333
RRS Cars,1,8,3,2,0,0,2,0,1,1,0,1,1,0,-1433
"W - MIROS, s.r.o.",1,9,4,1,0,0,0,1,0,1,0,0,0,1,514
CRISTEA COSTEL-DANIEL INTREPRINDERE INDIVIDUALA,1,9,2,1,0,0,1,0,0,0,1,1,0,0,259
DiKa Handels GmbH,1,7,4,2,0,0,1,1,1,1,0,0,2,0,346
TOP CAR'S 59,1,8,2,1,0,0,1,0,0,1,0,1,0,0,466
Dominik Lach INTERCAR,1,9,2,1,0,0,1,0,0,0,1,1,0,0,-1239
ARISTIDES DAS NEVES PIMPAREL MORAIS,1,8,3,0,1,0,1,0,0,0,1,0,1,0,712
M&M Trading AB,1,9,2,0,1,0,1,0,0,0,1,1,0,0,574
STEFANELLI S.P.A.,2,8,6,3,0,0,0,3,2,1,0,0,1,2,1437.666667
REMIREMONT AUTOMOBILES,5,1,10,12,3,0,0,15,14,1,0,0,4,11,1073.933333
"Underground Motorsport, Tomi Juhani Sellgren",1,10,5,1,0,0,0,1,1,0,0,0,0,1,1272
Auto-West Oy Petri Rahko,1,7,9,0,1,1,0,2,1,1,0,0,0,2,1484
G. CARS d.o.o.,1,7,3,2,0,0,2,0,1,1,0,1,1,0,-94.5
"SeDa Online, Inh. Sebastian Datema",2,6,2,3,0,0,3,0,1,0,2,3,0,0,-18.33333333
SUBECZ ERIKA E.V.,1,7,2,1,0,0,1,0,0,0,1,1,0,0,249
GT1 OÜ,1,10,5,0,0,1,0,1,0,1,0,0,0,1,1522
"Tan Automobile, Inh. Baran Tan",2,4,3,3,0,0,3,0,0,3,0,3,0,0,-122.6666667
"Autoport am Hafen, Inh. Orcun Aygün",2,10,2,3,0,0,3,0,0,1,2,3,0,0,504.3333333
AUTO IDEALS LAND SRL,3,8,6,7,2,0,9,0,0,7,2,5,2,2,636.6666667
NORD AUTO SIA,1,7,2,0,1,0,1,0,0,0,1,1,0,0,484
Autohaus Tillack GmbH,1,9,3,1,0,0,1,0,1,0,0,0,1,0,767
"Roth Automobile, Inh. Daniel Roth",1,7,4,0,1,1,2,0,0,0,2,0,1,1,18.5
RAMONA CORNEL AUTO S.R.L.,2,6,3,3,0,0,3,0,0,0,3,3,0,0,310
SB CARS EOOD,2,8,5,0,3,0,3,0,0,0,3,0,2,1,814.6666667
CONTINENTAL CAR,2,10,5,0,1,2,3,0,1,2,0,1,0,2,-1305.333333
CRIMINAL MOTOR S.R.L.,1,9,2,1,0,0,1,0,0,1,0,1,0,0,442
PORTIK E. CSONGOR ÎNTREPRINDERE INDIVIDUALĂ,2,9,5,3,1,0,3,1,1,1,2,2,1,1,404.5
AUTOBLOM B.V.,5,7,10,10,9,0,8,11,19,0,0,0,3,16,215.7368421
"YG Automobile, Inh. Yasin Gülhan",4,9,9,12,1,0,10,3,6,7,0,1,8,4,738.5384615
Van Der Linden Groep Waddinxveen,1,10,5,0,1,0,0,1,1,0,0,0,0,1,1317
MITTELCAR 2 S.R.L.,1,10,3,2,0,0,2,0,1,1,0,2,0,0,938
Autohandel Lucyna Waszkiewicz,2,5,3,1,2,0,3,0,0,2,1,3,0,0,268.6666667
ALG AUTO LOCATION,1,7,2,0,1,0,1,0,0,1,0,1,0,0,581
"Grothkopp, Inh. Lars Grothkopp",1,8,4,1,0,0,1,0,1,0,0,0,0,1,976
Best Cars Kamil Stankiewicz,1,3,2,1,0,0,1,0,0,0,1,1,0,0,262
JORGE GONÇALVES OLIVEIRA - AUTOMOVEIS UNIPESSOAL LDA,1,8,9,0,0,2,0,2,2,0,0,0,0,2,-5306.5
Haitcars,5,3,5,13,3,0,16,0,1,12,3,16,0,0,214.125
"Autohaus Valen GmbH, Inh. Markus Valen AM1",1,9,5,2,0,0,0,2,2,0,0,0,0,2,1157.5
"AUTO-VALOUŠEK, s.r.o.",1,9,3,1,1,0,2,0,0,1,1,1,1,0,633
UAB Deals on Wheels,3,10,10,0,0,6,0,6,6,0,0,0,0,6,1761.166667
"Klassiker Klein, Inh. Tim Klein",3,2,7,6,0,0,5,1,2,1,3,2,3,1,-378.1666667
Autobedrijf Haag,1,7,2,0,1,0,1,0,0,0,1,1,0,0,-418
Autohaus Sachs GmbH,1,10,5,0,1,0,0,1,1,0,0,0,0,1,1168
Verhoeks Exclusief (Tesla),2,7,9,0,0,3,0,3,3,0,0,0,0,3,-1511.333333
AUTO LINE CENTER S.R.L.,2,7,5,2,1,0,1,2,2,0,1,1,1,1,183
"Arthur Cars, Karapetyan, Harutiun",1,10,2,0,1,0,1,0,0,0,1,1,0,0,649
Grzegorz Jastrzębski,1,4,3,2,0,0,1,1,0,1,1,2,0,0,287.5
CW Wert GmbH & Co KG,1,8,5,2,0,0,0,2,2,0,0,0,0,2,1087
Osaühing Import Auto,5,9,11,0,17,2,0,19,12,7,0,0,0,19,1367.894737
PAPAZOGLOU HR KAI SIA OE  SUZUKI PAPAZOGLOU,3,8,7,4,1,0,2,3,4,1,0,0,4,1,790
MOTOR AVILA MERAT ESPAÑA SL,3,3,9,2,3,0,2,3,3,2,0,0,1,4,1019.6
SICURAUTO S.R.L.,1,9,5,0,1,0,0,1,1,0,0,0,0,1,963
SASU TENDANCE ET CLASSIC,1,8,2,1,0,0,1,0,1,0,0,1,0,0,470
Auto Centrum Prosek s.r.o.,1,8,4,1,1,0,1,1,1,1,0,1,0,1,701
OÜ Aswen auto,3,6,7,1,1,3,5,0,0,3,2,2,0,3,425.8
Marek Šenvajc,2,6,4,3,0,0,3,0,0,0,3,2,1,0,931.3333333
Taxi Zentrum Brandenburg Jordanov GbR,3,9,8,4,1,0,0,5,1,2,2,0,1,4,841
Meca Sport,1,9,4,1,0,0,1,0,1,0,0,0,0,1,1743
"Autohaus Boostedt Weidemann, Inh. Philip Weidemann",4,1,7,11,1,0,9,3,4,7,1,7,4,1,180.9166667
SASU NEXT CARS,6,5,10,2,13,10,21,4,13,12,0,0,3,22,1000.56
HANDEL OBWOŹNY WOJCIECH MIELCZAREK,1,10,4,1,0,0,0,1,0,1,0,0,0,1,1093
De Nieuwe Garage,1,9,2,1,0,0,1,0,0,1,0,1,0,0,492
"""QUICKSILVER"" Milena Fraj",1,8,4,2,0,0,0,2,0,2,0,0,2,0,172.5
Autohaus Sukusu Gmbh & Co. Kg,7,10,10,32,4,0,14,22,20,16,0,0,15,21,947.9444444
FIAN SPRINT AUTO S.R.L.,1,10,2,1,0,0,1,0,0,1,0,1,0,0,-16
ASOMETAL RALCOR S.R.L.,1,7,2,0,1,0,1,0,0,0,1,1,0,0,557
AUTOCENTAR BAOTIĆ d.o.o.,1,8,7,2,0,0,0,2,2,0,0,0,0,2,947.5
UAB Marko Kelionės,4,5,7,2,9,1,11,1,0,1,11,10,1,1,521.9166667
PRESTIGE CARS ŁUKASZ GLINKOWSKI DOMINIK OLESZCZAK SPÓŁKA CYWILNA,3,2,8,7,1,0,6,2,2,6,0,0,6,2,657.25
Autoscout Yashchuk Vitaliy,1,8,2,2,0,0,2,0,0,0,2,2,0,0,246.5
Garage ASDE,3,9,9,2,2,1,2,3,5,0,0,0,0,5,-114.6
MNT Cars Kft,3,7,4,5,0,0,5,0,0,3,2,5,0,0,538.4
ASSICURATI SRL,1,10,4,1,0,0,1,0,0,1,0,0,0,1,743
Maik Hergert,1,5,1,0,1,0,1,0,0,1,0,1,0,0,253
GARAGE RAILLON,6,6,9,20,3,0,20,3,20,3,0,5,11,7,1007.652174
Barno Auto's,2,3,7,4,0,0,1,3,2,2,0,0,1,3,1300.25
Usługi spawalnicze Tomasz Piotrowski,1,1,2,1,0,0,1,0,1,0,0,1,0,0,515
"AH-Automobile, Inh. Artak Hakobjan",2,8,8,1,3,0,2,2,1,3,0,0,1,3,2232.5
CRISMOTOR COMERCIO DE AUTOMOVEIS LDA,1,1,2,1,0,0,1,0,0,1,0,1,0,0,658
Lukáš Korpa,1,3,4,0,2,0,2,0,0,0,2,0,1,1,606
Web car,1,10,4,0,1,0,1,0,0,1,0,0,0,1,420
TECNOAUTO SERVICE S.R.L.,2,7,4,1,2,0,3,0,1,2,0,1,2,0,419.3333333
autoDUKLA s.r.o.,2,9,7,2,2,0,1,3,2,2,0,0,0,4,581.5
F.LLI MALACARNE DI MALACARNE LUCIO & C. S.N.C.,3,2,8,8,0,0,3,5,7,1,0,1,3,4,532.375
Alerio Cars,3,5,3,5,0,0,5,0,0,3,2,5,0,0,314.6
LR MOTORI DI RIGHETTI LUCA,1,6,7,0,1,0,1,0,1,0,0,0,0,1,1927
AUTO GABER GMBH,3,4,7,2,4,0,1,5,4,2,0,1,2,3,722
ALEKSANDRA KRAWCZYK,1,3,2,1,0,0,1,0,0,0,1,1,0,0,563
EL. CA. S.R.L.,1,10,4,2,0,0,2,0,0,2,0,1,0,1,352.5
"VIP autoservisas, UAB",2,7,4,1,3,0,4,0,0,1,3,2,2,0,-54.25
D&M IMPORT DISTRIBUTION S.R.L.,1,9,3,2,0,0,2,0,0,1,1,1,1,0,488
MBLTS and Partners Kft,1,10,2,1,0,0,1,0,0,0,1,1,0,0,429
VJA AUTÓ KFT,5,9,9,14,0,1,9,6,14,1,0,6,6,3,489.4666667
MyCar.be,1,10,3,1,0,0,0,1,1,0,0,0,1,0,558
MKT Monika Kafel,1,8,1,2,0,0,2,0,0,2,0,2,0,0,-369
"Autohaus Meyer,  Inh. Wilhelm Meyer",1,10,6,1,1,0,1,1,1,1,0,0,0,2,1163
Kosner Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,3,3,5,6,1,0,7,0,0,4,3,6,1,0,553.4285714
"Autopflege, Inh. Christian Weiß",1,10,3,0,1,0,1,0,0,0,1,0,1,0,-376
CITY CARS KISVÁRDA KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,2,7,3,2,2,0,4,0,0,1,3,4,0,0,229
BVBA WK CARS,6,3,9,26,3,0,26,3,28,1,0,26,0,3,549.0689655
Genc Auto's,1,7,5,1,1,0,0,2,2,0,0,0,0,2,1293
KKS-Kammerer Kraftfahrzeug-Service GmbH,1,10,5,1,0,0,0,1,1,0,0,0,0,1,1988
